OBJECTID,Status,Address,YearBuilt,BuildingName,ArchitecturalStyle,DesignationPart,HeritageConservationDistrict,ByLaw,ShapeSTArea,ShapeSTLength
5992,Listed Heritage Property,857 Adelaide St N,1886, ,Queen Anne Cottage, , , ,596.36940696,115.294978337651
5993,Designated Heritage Property,862 Waterloo St,1924,Copeland Property,Shingle,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,1206.7024768,184.02056168024
5994,Designated Heritage Property,326 St James St,1896, ,Queen Anne,IV,Bishop Hellmuth Heritage Conservation District,LSP3225415,390.37761736,81.2173074001433
5995,Designated Heritage Property,800 Hellmuth Ave,1904c, ,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,482.3851728,109.899311531006
5996,Listed Heritage Property,446 Piccadilly St,1900c, ,High Victorian, , , ,491.48325744,120.321888388338
5997,Listed Heritage Property,11 Chalmers St,1933, ,Tudor Revival, , , ,529.05302256,120.934195994981
5998,Designated Heritage Property,272 Grosvenor St,1935c, ,Colonial Revival,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,392.94743904,87.0086762282211
5999,Designated Heritage Property,862 Wellington St,1900, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,544.5654056,113.070714190931
6000,Listed Heritage Property,2598 Dundas St,1865, ,Ontario Cottage, , , ,2336.32865208,212.656292270075
6001,Designated Heritage Property,798 Hellmuth Ave,1904,Parks Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,468.99100664,109.290463412184
6002,Designated Heritage Property,866 Wellington St,1910c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,807.88791024,124.980169548808
6003,Designated Heritage Property,766 Hellmuth Ave,1902c, ,Vernacular,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,321.4566632,81.6244072688124
6004,Listed Heritage Property,510 Piccadilly St,1895c, ,High Victorian, , , ,593.5704852,121.749950821423
6005,Listed Heritage Property,272 Huron St,1925c, ,Eclectic, , , ,1027.3193864,178.20089402554
6006,Designated Heritage Property,804 Hellmuth Ave,1900,Springham Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,803.98510376,124.523836663141
6007,Listed Heritage Property,220 St James St,1872,Harris Property,Eclectic, , , ,2713.69439176,214.744883049425
6008,Listed Heritage Property,270 Cheapside St,1876, ,Regency, , , ,323.13237456,77.404058668534
6009,Designated Heritage Property,799 Waterloo St,1897,Morrison Property,Queen Anne,V,Bishop Hellmuth Heritage Conservation District,LSP3333305,672.14419208,118.666986911871
