X,Y,OBJECTID,GIS_ID,Address,Owner,Type,YearConstructed,GIS_FeatureKey,AmenityType,Premier,NewParkCategory,GlobalID
475688.8639,4759310.0856,8392,1,40 Capulet Lane,City,Adult Exercise Stn,2010,Capulet Park Adult Exercise Station 1,,,Neighbourhood Park,{799330D3-8D5D-41C3-BAC5-93EC73F4C74D}
475731.7718,4759270.2319,8393,2,40 Capulet Lane,City,Adult Exercise Stn,2010,Capulet Park Adult Exercise Station 2,,,Neighbourhood Park,{833AE4CF-90B4-4767-8A48-A4C12EDB6AE2}
475726.16,4759282.8667,8394,3,40 Capulet Lane,City,Adult Exercise Stn,2010,Capulet Park Adult Exercise Station 3,,,Neighbourhood Park,{46E8D34D-1CBE-45DC-9D8C-67D55C628547}
475712.8835,4759306.5482,8395,4,40 Capulet Lane,City,Adult Exercise Stn,2010,Capulet Park Adult Exercise Station 4,,,Neighbourhood Park,{FFED2D50-84E5-4522-8B55-284657C82150}
475700.6481,4759311.2519,8396,5,40 Capulet Lane,City,Adult Exercise Stn,2010,Capulet Park Adult Exercise Station 5,,,Neighbourhood Park,{41727C0D-D57F-4695-9822-3092E9B9B450}
483250.7574,4763096.7994,8397,6,1221 Sanford St,City,Arena,1965,Stronach Arena,,,Sports Park,{B6EBC1CB-6DAA-4CEB-86B6-757344E490DE}
475250.1133,4761143.2334,8398,7,119 Sherwood Forest Sq,City,Arena,1967,Ray Lanctin / Medway Arena,,,Facility Park,{F5F0F004-0332-41D1-B521-16520E8EC536}
480899.2919,4761398.9872,8399,8,675 Grosvenor St,City,Arena,1963,Carling Arena,,,Neighbourhood Park,{F0FA7096-3E8D-41CB-A220-0A48066D7A72}
482821.2127,4756641.8528,8400,9,370 Chippendale Cres,City,Arena,1963,Glen Cairn Arena,,,Facility Park,{64C43F96-0F6F-4B30-BEDD-E242DDE465FA}
481497.4449,4757528.747,8401,10,99 Brookside St,Private,Arena,2021,Ice Park Arena,,,Private,{2049E00F-2F36-40B7-B602-8F532F096939}
475119.2532,4750889.4037,8402,11,7112 Beattie St,City,Arena,1968,Lambeth Arena,,,District Park,{3E57C6F9-C846-4E91-86B7-71E24F32DE44}
475081.46,4758224.05,8403,12,825 Valetta St,City,Arena,1962,Oakridge Arena,,,District Park,{AD3C7F53-174D-4232-83B5-63665A95D023}
483218.72,4759021.69,8404,13,50 Sycamore St,City,Arena,1970,Silverwood Arena,,,District Park,{E578C2B2-B34B-432F-9E2F-C7EA0EB0B1D2}
482230.3916,4759546.3649,8405,14,875 Florence St,Private,Arena,2021,Western Fair Sports Centre,,,Private,{724E099D-E457-4666-BACD-E1CEC7C2EB30}
477532.8605,4761190.2348,8406,15,Western Rd & Philip Aziz Ave,Private,Arena,2021,Thompson Arena,,,Private,{804E2E7D-D63B-454A-A42B-EFD0C6D32A71}
486156.6009,4760814.2205,8407,16,1948 Wavell St,City,Arena,1954,Argyle Arena,,,Facility Park,{B4F8822E-2BA2-4DD7-857F-4DFF92002C49}
479345.6916,4754670.3457,8408,17,799 Homeview Rd,City,Arena,1984,Earl Nichols Arena,,,Neighbourhood Park,{FD050AEA-F10A-4A36-8290-E6B6355CF58D}
480242.0227,4757439.0127,8409,18,411 Tecumseh Ave E,City,Arena,1954,Farquharson Arena,,,Facility Park,{616B0F0D-E96E-40F2-99BE-DB45B33924CF}
478323.9966,4759431.4526,8410,19,20 Granville St,City,Arena,1973,Kinsmen Arena,,,District Park,{D45A8207-6034-4C84-ACE6-BE2892C59F87}
479413.1497,4758900.2423,8411,20,99 Dundas St,City,Arena,2003,Budweiser Gardens,,,Civic Space Park,{0AADCDE6-A3EF-4B2C-A040-BDE1E01D8133}
478926.8321,4759025.8461,8412,21,25 Wilson Ave,City,Baseball Stadium,1927,Labatt Park Baseball Stadium - Hardball,Stadium,Y,Sports Park,{0C40E866-6F32-4052-817A-407623CD219E}
478348.9148,4759327.5508,8413,22,20 Granville St,City,Baseball Diamond,2003,West Lions Park Baseball Diamond 1 - Fastball,Peewee,Y,District Park,{D312A2A7-2DC1-4049-9E9A-997C14C961C9}
480984.3119,4760507.2697,8414,23,640 Adelaide St N,City,Baseball Diamond,2010,McMahen Park Baseball Diamond 1 - Peewee,Other,,Neighbourhood Park,{EBD52B0E-A127-451E-97D1-2C36CB26FAE7}
484205.2424,4760313.9591,8415,24,612 Hale St,City,Baseball Diamond,2001,Kiwanis Park -North Baseball Diamond 2 - Peewee,Other,,District Park,{AE6BFE77-F069-455D-89DF-046082178D9E}
