OBJECTID,GIS_ID,Address,GravelParking,PavedParking,TotalBaseballDiamonds,RegulationDiamond,RegulationDiamondLighted,RegulationDiamondIrrigated,PeeweeDiamond,PeeweeDiamondLighted,PeeweeDiamondIrrigated,OtherDiamonds,FullSizeSoccer,FullSizeSoccerLighted,FullSizeSoccerIrrigated,TournamentSizeSoccer,TournamentSizeSoccerLighted,TournamentSizeSoccerIrrigated,MiniSoccer,FullSizeFootball,FullSizeFootballLighted,FullSizeFootballIrrigated,ArenaName,NumberOfIcePads,TennisCourts,TennisCourtsLighted,MultiUsePads,PoolName,PoolType,NumberOfPools,WadingPools,SprayPads,PlayStructure,PlayYear,WalkingTrail,PavedPathway,TotalPathway,FullSizeBasketball,HalfSizeBasketball,SkateboardPark,Swings,SwingSets,OffLeashPark,CommunityCentre,RecreationCentre,FieldHouse,ParkCategory,OtherFacilities,RunningTrack,GolfCourse,ConcessionStand,PicnicShelter,DrinkingFountain,Benches,PicnicTable,Washroom,OutdoorRink,ParkSign,GarbageCan,Light,CampusCommunity,BoatRamp,AdultExerciseStation,SwmPond,NaturalizationProgram,CommunityGarden,YearParkAdded,Pnumber,GIS_FeatureKey,VolleyballCourts,CricketPitch,PickleballCourt,GlobalID,ShapeSTArea,ShapeSTLength
8254,1,1085 Commissioners Rd W,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0, ,0,0,0,0, , ,0,1,1,1,2016,1155.98,13308.13,14464.11,0,0,1,12,4,N,Y,N,Y,R,"STORYBOOK GARDENS, MULTI-PURPOSE ROOM, GRAHAM ARBORETUM, SPRINGBANK GARDENS, GUY LOMBTDO PAVILION, WONDERLAND BANDSHELL, MEMORY WALL/ARBORETUM, ADULT FITNESS EQUIPMENT - 2019",N,N,Y,Y,Y,6,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N, ,P-001,Springbank Park,0,0,0,{1F448347-FD81-44E3-9296-0F4D74E071EC},708656.447077655,8910.30536196376
8255,2,23 Metamora Cres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,76.21,0,76.21,0,0,0,0,0,N,N,N,N,E, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,Y,N, ,P-002B,Medway Valley Heritage Forest ESA - South,0,0,0,{F1C8302C-CADA-47F1-A728-D18F8AE329AC},5017.71076072,537.906290716185
8256,3,2a Grosvenor St,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,3,0,0,Gibbons Park Community Pool,Outdoor,1,0,1,3,2022,0,2904.35,2904.35,0,0,0,4,1,N,N,N,Y,D,Kiwanis Music Park,N,N,N,Y,Y,3,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N, ,P-003,Gibbons Park,0,0,0,{7867009C-8F4E-4EA9-A6BD-89E03668348D},257977.690339405,3083.56961176496
8259,6,20 Granville St,0,186,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,Kinsmen Recreation,2,0,0,0, , ,0,0,1,1,2019,0,1228.96,1228.96,2,0,1,6,2,N,N,Y,N,D, Food Forest,N,N,N,N,Y,5,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y, ,P-007,West Lions Park And Kinsmen Recreation Centre,0,0,0,{9096238B-A7C5-4220-B126-EC4DAB9E8C98},80082.75753419,1591.19917858483
8262,9,1570 Hillside Dr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,0,0,0,0,0,0,0,N,N,N,N,O, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,Y,N, ,P-010,Hillside Ravine,0,0,0,{913C82DD-42E1-4F2E-B200-920E15D9FAC9},6920.701795635,684.821367031863
8272,19,850 Sunninghill Ave,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,132.47,132.47,0,0,0,0,0,N,N,N,N,G, ,N,Y,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N, ,P-017,Thames Valley (e.v. Buchanan) Golf Course,0,0,0,{C4022D33-025F-43D5-9CCF-5047DD697B00},567425.932680165,4192.95688410315
8274,21,825 Valetta St,0,112,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Oakridge Arena,1,2,0,0,Oakridge Acres Park Community Pool,Outdoor,1,0,1,2,2010,0,784.4,784.4,0,0,0,4,1,N,N,Y,Y,D,Batting Cage,N,N,N,Y,N,9,Y,Y,N,Y,Y,Y,N,N,N,N,N,N, ,P-019,Oakridge Optimist Community Park,0,0,2,{2955E386-A584-43F9-B54F-89B5B159D84E},49002.28612224,1032.8979878168
8276,23,555 Wharncliffe Rd S,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,2,"2005, 2006",0,734.73,734.73,0,0,1,4,1,N,N,N,Y,D, ,N,N,N,N,N,6,Y,Y,N,Y,Y,N,N,N,N,N,N,N, ,P-022,Basil Grover Park,0,0,0,{AEEFC98D-B206-45F8-8276-1287C8581A67},52053.6890292,931.142803036007
8278,25,75 Cliftonvale Ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0, , ,0,1,0,1,2024,0,385.42,385.42,1,0,0,4,1,N,N,N,Y,N, ,N,N,N,N,N,9,2,Y,N,N,Y,Y,N,N,N,N,N,N, ,P-024,Murray Park,0,0,0,{11692EB4-B953-4073-9372-883C7C842C7A},13170.25076264,529.799054512975
8279,26,16 Fernley Ave,0,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0, , ,0,0,0,0, ,0,145.15,145.15,1,0,0,0,0,N,N,N,N,N, ,N,N,N,N,N,0,N,N,N,N,N,N,N,N,N,N,N,N, ,P-025,Kensington Park,0,0,0,{C0B9B6DF-357A-4B0F-A8B3-25BB3BC97411},19319.14862264,613.232857959973
