OBJECTID,Theme,Layer,FeatureCode,LastEditDate,ShapeSTArea,ShapeSTLength
570,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,77.66555,37.502796134946
571,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,104.86405,41.850139150232
572,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,69.9881,35.5770990489195
573,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,79.8473445,37.6787331507238
574,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,96.8725,41.7147476554943
575,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,141.75245,54.7481736682877
576,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,455.75247048,111.888224903464
577,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,85.3802,41.2997746693013
578,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,119.63465,45.4184101249182
579,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,152.9761,51.9305746826658
580,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,27.7958528,19.617641646255
581,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,176.50675,56.1111127685591
582,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,105.6547974,42.8828332897234
583,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,65.5092795,34.6819398696062
584,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,97.41245,46.8245886731524
585,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,99.48415352,42.8417783279821
586,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,81.8405,37.969685699324
587,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,100.2491,41.9385884866548
588,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,69.6039,35.5932098229381
589,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,97.0618,39.4371848675684
590,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,229.55805,67.8155244877114
591,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,96.9641,41.3288533356362
592,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,754.935309445,119.328330691697
593,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,93.6574905,39.7927803045576
594,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,82.17205,39.1632565736879
595,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,124.67905,49.1805566723796
596,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,67.97125,33.1991944858196
597,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,106.074939,43.9993216533788
598,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,79.91025,39.4066517122427
599,Structures,Map 2D - Structures - Public Pool,EL30150000,2017/03/06 00:00:00+00,87.4167,38.9031032623097
